2025-04-19 01:18:33,861 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-21 02:03:35,683 | INFO | Fetching expenses for date: 2024-08-01
2025-04-21 02:03:35,693 | DEBUG | Database connection opened.
2025-04-21 02:03:35,694 | INFO | Fetched 5 expenses.
2025-04-21 02:03:35,695 | DEBUG | Database connection closed.
2025-04-21 02:03:35,730 | INFO | Deleting expenses for date: 2024-08-01
2025-04-21 02:03:35,739 | DEBUG | Database connection opened.
2025-04-21 02:03:35,769 | INFO | Expenses deleted successfully.
2025-04-21 02:03:35,783 | DEBUG | Changes committed to the database.
2025-04-21 02:03:35,784 | DEBUG | Database connection closed.
2025-04-21 02:03:35,790 | INFO | Inserting expense: 2024-08-01, 1227.0, Rent, Monthly rent payment
2025-04-21 02:03:35,805 | DEBUG | Database connection opened.
2025-04-21 02:03:35,815 | INFO | Expense inserted successfully.
2025-04-21 02:03:35,819 | DEBUG | Changes committed to the database.
2025-04-21 02:03:35,820 | DEBUG | Database connection closed.
2025-04-21 02:03:35,820 | INFO | Inserting expense: 2024-08-01, 300.0, Food, Groceries for the week
2025-04-21 02:03:35,831 | DEBUG | Database connection opened.
2025-04-21 02:03:35,833 | INFO | Expense inserted successfully.
2025-04-21 02:03:35,835 | DEBUG | Changes committed to the database.
2025-04-21 02:03:35,835 | DEBUG | Database connection closed.
2025-04-21 02:03:35,835 | INFO | Inserting expense: 2024-08-01, 1200.0, Rent, Monthly rent payment
2025-04-21 02:03:35,850 | DEBUG | Database connection opened.
2025-04-21 02:03:35,855 | INFO | Expense inserted successfully.
2025-04-21 02:03:35,866 | DEBUG | Changes committed to the database.
2025-04-21 02:03:35,866 | DEBUG | Database connection closed.
2025-04-21 02:03:35,869 | INFO | Inserting expense: 2024-08-01, 300.0, Food, Groceries for the week
2025-04-21 02:03:35,877 | DEBUG | Database connection opened.
2025-04-21 02:03:35,877 | INFO | Expense inserted successfully.
2025-04-21 02:03:35,877 | DEBUG | Changes committed to the database.
2025-04-21 02:03:35,877 | DEBUG | Database connection closed.
2025-04-21 02:03:35,877 | INFO | Inserting expense: 2024-08-01, 700.0, Other, laundery and cleaning
2025-04-21 02:03:35,891 | DEBUG | Database connection opened.
2025-04-21 02:03:35,891 | INFO | Expense inserted successfully.
2025-04-21 02:03:35,900 | DEBUG | Changes committed to the database.
2025-04-21 02:03:35,900 | DEBUG | Database connection closed.
2025-04-21 02:03:41,280 | INFO | Fetching expenses for date: 2024-08-01
2025-04-21 02:03:41,289 | DEBUG | Database connection opened.
2025-04-21 02:03:41,290 | INFO | Fetched 5 expenses.
2025-04-21 02:03:41,291 | DEBUG | Database connection closed.
2025-04-22 17:49:42,386 | INFO | Fetching summary between 2024-08-01 and 2024-08-02
2025-04-22 17:49:42,608 | DEBUG | Database connection opened.
2025-04-22 17:49:42,661 | INFO | Summary fetched with 4 categories.
2025-04-22 17:49:42,661 | DEBUG | Database connection closed.
2025-04-22 18:14:20,142 | INFO | Fetching expenses for date: 2024-08-01
2025-04-22 18:14:20,269 | DEBUG | Database connection opened.
2025-04-22 18:14:20,285 | INFO | Fetched 5 expenses.
2025-04-22 18:14:20,285 | DEBUG | Database connection closed.
2025-04-22 18:17:32,739 | INFO | Fetching expenses for date: 2024-08-01
2025-04-22 18:17:32,763 | DEBUG | Database connection opened.
2025-04-22 18:17:32,763 | INFO | Fetched 5 expenses.
2025-04-22 18:17:32,763 | DEBUG | Database connection closed.
2025-04-22 18:17:36,125 | INFO | Fetching expenses for date: 2024-08-01
2025-04-22 18:17:36,142 | DEBUG | Database connection opened.
2025-04-22 18:17:36,142 | INFO | Fetched 5 expenses.
2025-04-22 18:17:36,142 | DEBUG | Database connection closed.
2025-04-22 18:17:36,199 | INFO | Fetching summary between 2024-08-01 and 2024-08-05
2025-04-22 18:17:36,211 | DEBUG | Database connection opened.
2025-04-22 18:17:36,231 | INFO | Summary fetched with 5 categories.
2025-04-22 18:17:36,231 | DEBUG | Database connection closed.
2025-04-22 18:37:41,694 | INFO | Fetching expenses for date: 2024-08-01
2025-04-22 18:37:41,757 | DEBUG | Database connection opened.
2025-04-22 18:37:41,761 | INFO | Fetched 5 expenses.
2025-04-22 18:37:41,762 | DEBUG | Database connection closed.
